ID,Smell,Code,FPath
as_1_9,Inefficient Rendering,"class ReactifiedComponent extends React.Component<Props & ReactifyProps> {   container?: HTMLDivElement;    constructor(props: Props & ReactifyProps) {     super(props);     this.setContainerRef = this.setContainerRef.bind(this);   }    componentDidMount() {     this.execute();   }    componentDidUpdate() {     this.execute();   }    componentWillUnmount() {     this.container = undefined;     if (callbacks?.componentWillUnmount) {       callbacks.componentWillUnmount.bind(this)();     }   }    setContainerRef(ref: HTMLDivElement) {     this.container = ref;   }    execute() {     if (this.container) {       renderFn(this.container, this.props);     }   }    render() {     const { id, className } = this.props;      return <div ref={this.setContainerRef} id={id} className={className} />;   } }",C:\Users\Owner\Desktop\DatasetFiles\as_1_9.js
as_2_17,Inefficient Rendering,"class AnotherTestComponent extends React.PureComponent<{}, {}> {   render() {     return <TheChartWithWillUnmountHook id=""another_test"" />;   } }",C:\Users\Owner\Desktop\DatasetFiles\as_2_17.js
as_3_18,Inefficient Rendering,"class AnotherTestComponent extends React.PureComponent<{}, {}> {   render() {     return <TheChartWithWillUnmountHook id=""another_test"" />;   } }",C:\Users\Owner\Desktop\DatasetFiles\as_3_18.js
as_4_60,Inefficient Rendering,"class HorizonRow extends React.PureComponent {   componentDidMount() {     this.drawChart();   }    componentDidUpdate() {     this.drawChart();   }    componentWillUnmount() {     this.canvas = null;   }    drawChart() {     if (this.canvas) {       const {         data: rawData,         yDomain,         width,         height,         bands,         colors,         colorScale,         offsetX,         mode,       } = this.props;        const data =         colorScale === 'change'           ? rawData.map(d => ({ ...d, y: d.y - rawData[0].y }))           : rawData;        const context = this.canvas.getContext('2d');       context.imageSmoothingEnabled = false;       context.clearRect(0, 0, width, height);       // Reset transform       context.setTransform(1, 0, 0, 1, 0, 0);       context.translate(0.5, 0.5);        const step = width / data.length;       // the data frame currently being shown:       const startIndex = Math.floor(Math.max(0, -(offsetX / step)));       const endIndex = Math.floor(         Math.min(data.length, startIndex + width / step),       );        // skip drawing if there's no data to be drawn       if (startIndex > data.length) {         return;       }        // Create y-scale       const [min, max] = yDomain || d3Extent(data, d => d.y);       const y = scaleLinear()         .domain([0, Math.max(-min, max)])         .range([0, height]);        // we are drawing positive & negative bands separately to avoid mutating canvas state       // http://www.html5rocks.com/en/tutorials/canvas/performance/       let hasNegative = false;       // draw positive bands       let value;       let bExtents;       for (let b = 0; b < bands; b += 1) {         context.fillStyle = colors[bands + b];          // Adjust the range based on the current band index.         bExtents = (b + 1 - bands) * height;         y.range([bands * height + bExtents, bExtents]);          // only the current data frame is being drawn i.e. what's visible:         for (let i = startIndex; i < endIndex; i += 1) {           value = data[i].y;           if (value <= 0) {             hasNegative = true;             continue;           }           if (value !== undefined) {             context.fillRect(               offsetX + i * step,               y(value),               step + 1,               y(0) - y(value),             );           }         }       }        // draw negative bands       if (hasNegative) {         // mirror the negative bands, by flipping the canvas         if (mode === 'offset') {           context.translate(0, height);           context.scale(1, -1);         }          for (let b = 0; b < bands; b += 1) {           context.fillStyle = colors[bands - b - 1];            // Adjust the range based on the current band index.           bExtents = (b + 1 - bands) * height;           y.range([bands * height + bExtents, bExtents]);            // only the current data frame is being drawn i.e. what's visible:           for (let ii = startIndex; ii < endIndex; ii += 1) {             value = data[ii].y;             if (value >= 0) {               continue;             }             context.fillRect(               offsetX + ii * step,               y(-value),               step + 1,               y(0) - y(-value),             );           }         }       }     }   }    render() {     const { className, title, width, height } = this.props;      return (       <div className={`horizon-row ${className}`}>         <span className=""title"">{title}</span>         <canvas           ref={c => {             this.canvas = c;           }}           width={width}           height={height}         />       </div>     );   } }  HorizonRow.propTypes = propTypes; HorizonRow.defaultProps = defaultProps;  export default HorizonRow;",C:\Users\Owner\Desktop\DatasetFiles\as_4_60.js
as_5_66,Inefficient Rendering,"class TTestTable extends React.Component {   constructor(props) {     super(props);     this.state = {       control: 0,       liftValues: [],       pValues: [],     };   }    componentDidMount() {     const { control } = this.state;     this.computeTTest(control); // initially populate table   }    getLiftStatus(row) {     const { control, liftValues } = this.state;     // Get a css class name for coloring     if (row === control) {       return 'control';     }     const liftVal = liftValues[row];     if (Number.isNaN(liftVal) || !Number.isFinite(liftVal)) {       return 'invalid'; // infinite or NaN values     }      return liftVal >= 0 ? 'true' : 'false'; // green on true, red on false   }    getPValueStatus(row) {     const { control, pValues } = this.state;     if (row === control) {       return 'control';     }     const pVal = pValues[row];     if (Number.isNaN(pVal) || !Number.isFinite(pVal)) {       return 'invalid';     }      return ''; // p-values won't normally be colored   }    getSignificance(row) {     const { control, pValues } = this.state;     const { alpha } = this.props;     // Color significant as green, else red     if (row === control) {       return 'control';     }      // p-values significant below set threshold     return pValues[row] <= alpha;   }    computeLift(values, control) {     const { liftValPrec } = this.props;     // Compute the lift value between two time series     let sumValues = 0;     let sumControl = 0;     values.forEach((value, i) => {       sumValues += value.y;       sumControl += control[i].y;     });      return (((sumValues - sumControl) / sumControl) * 100).toFixed(liftValPrec);   }    computePValue(values, control) {     const { pValPrec } = this.props;     // Compute the p-value from Student's t-test     // between two time series     let diffSum = 0;     let diffSqSum = 0;     let finiteCount = 0;     values.forEach((value, i) => {       const diff = control[i].y - value.y;       /* eslint-disable-next-line */       if (isFinite(diff)) {         finiteCount += 1;         diffSum += diff;         diffSqSum += diff * diff;       }     });     const tvalue = -Math.abs(       diffSum *         Math.sqrt(           (finiteCount - 1) / (finiteCount * diffSqSum - diffSum * diffSum),         ),     );     try {       return (2 * new dist.Studentt(finiteCount - 1).cdf(tvalue)).toFixed(         pValPrec,       ); // two-sided test     } catch (error) {       return NaN;     }   }    computeTTest(control) {     // Compute lift and p-values for each row     // against the selected control     const { data } = this.props;     const pValues = [];     const liftValues = [];     if (!data) {       return;     }     for (let i = 0; i < data.length; i += 1) {       if (i === control) {         pValues.push('control');         liftValues.push('control');       } else {         pValues.push(this.computePValue(data[i].values, data[control].values));         liftValues.push(this.computeLift(data[i].values, data[control].values));       }     }     this.setState({ control, liftValues, pValues });   }    render() {     const { data, metric, groups } = this.props;     const { control, liftValues, pValues } = this.state;      if (!Array.isArray(groups) || groups.length === 0) {       throw Error('Group by param is required');     }      // Render column header for each group     const columns = groups.map((group, i) => (       <Th key={i} column={group}>         {group}       </Th>     ));     const numGroups = groups.length;     // Columns for p-value, lift-value, and significance (true/false)     columns.push(       <Th key={numGroups + 1} column=""pValue"">         p-value       </Th>,     );     columns.push(       <Th key={numGroups + 2} column=""liftValue"">         Lift %       </Th>,     );     columns.push(       <Th key={numGroups + 3} column=""significant"">         Significant       </Th>,     );     const rows = data.map((entry, i) => {       const values = groups.map(         (           group,           j, // group names         ) => <Td key={j} column={group} data={entry.group[j]} />,       );       values.push(         <Td           key={numGroups + 1}           className={this.getPValueStatus(i)}           column=""pValue""           data={pValues[i]}         />,       );       values.push(         <Td           key={numGroups + 2}           className={this.getLiftStatus(i)}           column=""liftValue""           data={liftValues[i]}         />,       );       values.push(         <Td           key={numGroups + 3}           className={this.getSignificance(i).toString()}           column=""significant""           data={this.getSignificance(i)}         />,       );        return (         <Tr           key={i}           className={i === control ? 'control' : ''}           onClick={this.computeTTest.bind(this, i)}         >           {values}         </Tr>       );     });     // When sorted ascending, 'control' will always be at top     const sortConfig = groups.concat([       {         column: 'pValue',         sortFunction: (a, b) => {           if (a === 'control') {             return -1;           }           if (b === 'control') {             return 1;           }            return a > b ? 1 : -1; // p-values ascending         },       },       {         column: 'liftValue',         sortFunction: (a, b) => {           if (a === 'control') {             return -1;           }           if (b === 'control') {             return 1;           }            return parseFloat(a) > parseFloat(b) ? -1 : 1; // lift values descending         },       },       {         column: 'significant',         sortFunction: (a, b) => {           if (a === 'control') {             return -1;           }           if (b === 'control') {             return 1;           }            return a > b ? -1 : 1; // significant values first         },       },     ]);      return (       <div>         <h3>{metric}</h3>         <Table className=""table"" id={`table_${metric}`} sortable={sortConfig}>           <Thead>{columns}</Thead>           {rows}         </Table>       </div>     );   } }",C:\Users\Owner\Desktop\DatasetFiles\as_5_66.js
as_6_71,Inefficient Rendering,"export default class CategoricalDeckGLContainer extends React.PureComponent {   containerRef = React.createRef();    /*    * A Deck.gl container that handles categories.    *    * The container will have an interactive legend, populated from the    * categories present in the data.    */   constructor(props) {     super(props);     this.state = this.getStateFromProps(props);      this.getLayers = this.getLayers.bind(this);     this.onValuesChange = this.onValuesChange.bind(this);     this.toggleCategory = this.toggleCategory.bind(this);     this.showSingleCategory = this.showSingleCategory.bind(this);   }    UNSAFE_componentWillReceiveProps(nextProps) {     if (nextProps.payload.form_data !== this.state.formData) {       this.setState({ ...this.getStateFromProps(nextProps) });     }   }    onValuesChange(values) {     this.setState({       values: Array.isArray(values)         ? values         : [values, values + this.state.getStep(values)],     });   }    // eslint-disable-next-line class-methods-use-this   getStateFromProps(props, state) {     const features = props.payload.data.features || [];     const timestamps = features.map(f => f.__timestamp);     const categories = getCategories(props.formData, features);      // the state is computed only from the payload; if it hasn't changed, do     // not recompute state since this would reset selections and/or the play     // slider position due to changes in form controls     if (state && props.payload.form_data === state.formData) {       return { ...state, categories };     }      // the granularity has to be read from the payload form_data, not the     // props formData which comes from the instantaneous controls state     const granularity =       props.payload.form_data.time_grain_sqla ||       props.payload.form_data.granularity ||       'P1D';      const { start, end, getStep, values, disabled } = getPlaySliderParams(       timestamps,       granularity,     );      const { width, height, formData } = props;     let { viewport } = props;     if (formData.autozoom) {       viewport = fitViewport(viewport, {         width,         height,         points: props.getPoints(features),       });     }     if (viewport.zoom < 0) {       viewport.zoom = 0;     }      return {       start,       end,       getStep,       values,       disabled,       viewport,       selected: [],       lastClick: 0,       formData: props.payload.form_data,       categories,     };   }    getLayers(values) {     const { getLayer, payload, formData: fd, onAddFilter } = this.props;     let features = payload.data.features ? [...payload.data.features] : [];      // Add colors from categories or fixed color     features = this.addColor(features, fd);      // Apply user defined data mutator if defined     if (fd.js_data_mutator) {       const jsFnMutator = sandboxedEval(fd.js_data_mutator);       features = jsFnMutator(features);     }      // Filter by time     if (values[0] === values[1] || values[1] === this.end) {       features = features.filter(         d => d.__timestamp >= values[0] && d.__timestamp <= values[1],       );     } else {       features = features.filter(         d => d.__timestamp >= values[0] && d.__timestamp < values[1],       );     }      // Show only categories selected in the legend     const cats = this.state.categories;     if (fd.dimension) {       features = features.filter(         d => cats[d.cat_color] && cats[d.cat_color].enabled,       );     }      const filteredPayload = {       ...payload,       data: { ...payload.data, features },     };      return [       getLayer(         fd,         filteredPayload,         onAddFilter,         this.setTooltip,         this.props.datasource,       ),     ];   }    // eslint-disable-next-line class-methods-use-this   addColor(data, fd) {     const c = fd.color_picker || { r: 0, g: 0, b: 0, a: 1 };     const colorFn = getScale(fd.color_scheme);      return data.map(d => {       let color;       if (fd.dimension) {         color = hexToRGB(colorFn(d.cat_color, fd.sliceId), c.a * 255);          return { ...d, color };       }        return d;     });   }    toggleCategory(category) {     const categoryState = this.state.categories[category];     const categories = {       ...this.state.categories,       [category]: {         ...categoryState,         enabled: !categoryState.enabled,       },     };      // if all categories are disabled, enable all -- similar to nvd3     if (Object.values(categories).every(v => !v.enabled)) {       /* eslint-disable no-param-reassign */       Object.values(categories).forEach(v => {         v.enabled = true;       });     }     this.setState({ categories });   }    showSingleCategory(category) {     const categories = { ...this.state.categories };     /* eslint-disable no-param-reassign */     Object.values(categories).forEach(v => {       v.enabled = false;     });     categories[category].enabled = true;     this.setState({ categories });   }    setTooltip = tooltip => {     const { current } = this.containerRef;     if (current) {       current.setTooltip(tooltip);     }   };    render() {     return (       <div style={{ position: 'relative' }}>         <AnimatableDeckGLContainer           ref={this.containerRef}           getLayers={this.getLayers}           start={this.state.start}           end={this.state.end}           getStep={this.state.getStep}           values={this.state.values}           disabled={this.state.disabled}           viewport={this.state.viewport}           mapboxApiAccessToken={this.props.mapboxApiKey}           mapStyle={this.props.formData.mapbox_style}           setControlValue={this.props.setControlValue}           width={this.props.width}           height={this.props.height}         >           <Legend             forceCategorical             categories={this.state.categories}             format={this.props.formData.legend_format}             position={this.props.formData.legend_position}             showSingleCategory={this.showSingleCategory}             toggleCategory={this.toggleCategory}           />         </AnimatableDeckGLContainer>       </div>     );   } }  CategoricalDeckGLContainer.propTypes = propTypes;",C:\Users\Owner\Desktop\DatasetFiles\as_6_71.js
as_7_73,Inefficient Rendering,"export default class PlaySlider extends React.PureComponent {   constructor(props) {     super(props);     this.state = { intervalId: null };      const range = props.end - props.start;     const frames = Math.min(props.maxFrames, range / props.step);     const width = range / frames;     this.intervalMilliseconds = props.loopDuration / frames;     this.increment =       width < props.step ? props.step : width - (width % props.step);      this.onChange = this.onChange.bind(this);     this.play = this.play.bind(this);     this.pause = this.pause.bind(this);     this.stepBackward = this.stepBackward.bind(this);     this.stepForward = this.stepForward.bind(this);     this.getPlayClass = this.getPlayClass.bind(this);     this.formatter = this.formatter.bind(this);   }    componentDidMount() {     Mousetrap.bind(['space'], this.play);   }    componentWillUnmount() {     Mousetrap.unbind(['space']);   }    onChange(event) {     this.props.onChange(event.target.value);     if (this.state.intervalId != null) {       this.pause();     }   }    getPlayClass() {     if (this.state.intervalId == null) {       return 'fa fa-play fa-lg slider-button';     }      return 'fa fa-pause fa-lg slider-button';   }    play() {     if (this.props.disabled) {       return;     }     if (this.state.intervalId != null) {       this.pause();     } else {       const id = setInterval(this.stepForward, this.intervalMilliseconds);       this.setState({ intervalId: id });     }   }    pause() {     clearInterval(this.state.intervalId);     this.setState({ intervalId: null });   }    stepForward() {     const { start, end, step, values, disabled } = this.props;      if (disabled) {       return;     }      const currentValues = Array.isArray(values)       ? values       : [values, values + step];     const nextValues = currentValues.map(value => value + this.increment);     const carriageReturn = nextValues[1] > end ? nextValues[0] - start : 0;      this.props.onChange(nextValues.map(value => value - carriageReturn));   }    stepBackward() {     const { start, end, step, values, disabled } = this.props;      if (disabled) {       return;     }      const currentValues = Array.isArray(values)       ? values       : [values, values + step];     const nextValues = currentValues.map(value => value - this.increment);     const carriageReturn = nextValues[0] < start ? end - nextValues[1] : 0;      this.props.onChange(nextValues.map(value => value + carriageReturn));   }    formatter(values) {     if (this.props.disabled) {       return t('Data has no time steps');     }      let parts = values;     if (!Array.isArray(values)) {       parts = [values];     } else if (values[0] === values[1]) {       parts = [values[0]];     }      return parts.map(value => new Date(value).toUTCString()).join(' : ');   }    render() {     const { start, end, step, orientation, reversed, disabled, range, values } =       this.props;      return (       <StyledSlider>         <div className=""play-slider-controls padded"">           <i             className=""fa fa-step-backward fa-lg slider-button ""             onClick={this.stepBackward}           />           <i className={this.getPlayClass()} onClick={this.play} />           <i             className=""fa fa-step-forward fa-lg slider-button ""             onClick={this.stepForward}           />         </div>         <div className=""play-slider-scrobbler padded"">           <BootstrapSliderWrapper             value={range ? values : values[0]}             range={range}             formatter={this.formatter}             change={this.onChange}             min={start}             max={end}             step={step}             orientation={orientation}             reversed={reversed}             disabled={disabled ? 'disabled' : 'enabled'}           />         </div>       </StyledSlider>     );   } }",C:\Users\Owner\Desktop\DatasetFiles\as_7_73.js
as_8_76,Inefficient Rendering,"export class DeckGLContainer extends React.Component {   constructor(props) {     super(props);     this.tick = this.tick.bind(this);     this.onViewStateChange = this.onViewStateChange.bind(this);     // This has to be placed after this.tick is bound to this     this.state = {       timer: setInterval(this.tick, TICK),       tooltip: null,       viewState: props.viewport,     };   }    UNSAFE_componentWillReceiveProps(nextProps) {     if (!isEqual(nextProps.viewport, this.props.viewport)) {       this.setState({ viewState: nextProps.viewport });     }   }    componentWillUnmount() {     clearInterval(this.state.timer);   }    onViewStateChange({ viewState }) {     this.setState({ viewState, lastUpdate: Date.now() });   }    tick() {     // Rate limiting updating viewport controls as it triggers lotsa renders     const { lastUpdate } = this.state;     if (lastUpdate && Date.now() - lastUpdate > TICK) {       const setCV = this.props.setControlValue;       if (setCV) {         setCV('viewport', this.state.viewState);       }       this.setState({ lastUpdate: null });     }   }    layers() {     // Support for layer factory     if (this.props.layers.some(l => typeof l === 'function')) {       return this.props.layers.map(l => (typeof l === 'function' ? l() : l));     }      return this.props.layers;   }    setTooltip = tooltip => {     this.setState({ tooltip });   };    render() {     const { children, bottomMargin, height, width } = this.props;     const { viewState, tooltip } = this.state;     const adjustedHeight = height - bottomMargin;      const layers = this.layers();      return (       <>         <div style={{ position: 'relative', width, height: adjustedHeight }}>           <DeckGL             initWebGLParameters             controller             width={width}             height={adjustedHeight}             layers={layers}             viewState={viewState}             glOptions={{ preserveDrawingBuffer: true }}             onViewStateChange={this.onViewStateChange}           >             <StaticMap               preserveDrawingBuffer               mapStyle={this.props.mapStyle}               mapboxApiAccessToken={this.props.mapboxApiAccessToken}             />           </DeckGL>           {children}         </div>         <Tooltip tooltip={tooltip} />       </>     );   } }",C:\Users\Owner\Desktop\DatasetFiles\as_8_76.js
as_9_77,Props in initial state,"export class DeckGLContainer extends React.Component {   constructor(props) {     super(props);     this.tick = this.tick.bind(this);     this.onViewStateChange = this.onViewStateChange.bind(this);     // This has to be placed after this.tick is bound to this     this.state = {       timer: setInterval(this.tick, TICK),       tooltip: null,       viewState: props.viewport,     };   }    UNSAFE_componentWillReceiveProps(nextProps) {     if (!isEqual(nextProps.viewport, this.props.viewport)) {       this.setState({ viewState: nextProps.viewport });     }   }    componentWillUnmount() {     clearInterval(this.state.timer);   }    onViewStateChange({ viewState }) {     this.setState({ viewState, lastUpdate: Date.now() });   }    tick() {     // Rate limiting updating viewport controls as it triggers lotsa renders     const { lastUpdate } = this.state;     if (lastUpdate && Date.now() - lastUpdate > TICK) {       const setCV = this.props.setControlValue;       if (setCV) {         setCV('viewport', this.state.viewState);       }       this.setState({ lastUpdate: null });     }   }    layers() {     // Support for layer factory     if (this.props.layers.some(l => typeof l === 'function')) {       return this.props.layers.map(l => (typeof l === 'function' ? l() : l));     }      return this.props.layers;   }    setTooltip = tooltip => {     this.setState({ tooltip });   };    render() {     const { children, bottomMargin, height, width } = this.props;     const { viewState, tooltip } = this.state;     const adjustedHeight = height - bottomMargin;      const layers = this.layers();      return (       <>         <div style={{ position: 'relative', width, height: adjustedHeight }}>           <DeckGL             initWebGLParameters             controller             width={width}             height={adjustedHeight}             layers={layers}             viewState={viewState}             glOptions={{ preserveDrawingBuffer: true }}             onViewStateChange={this.onViewStateChange}           >             <StaticMap               preserveDrawingBuffer               mapStyle={this.props.mapStyle}               mapboxApiAccessToken={this.props.mapboxApiAccessToken}             />           </DeckGL>           {children}         </div>         <Tooltip tooltip={tooltip} />       </>     );   } }",C:\Users\Owner\Desktop\DatasetFiles\as_9_77.js
as_10_78,Inefficient Rendering,"type deckGLComponentProps = {   datasource: Datasource;   formData: QueryFormData;   height: number;   onAddFilter: () => void;   payload: JsonObject;   setControlValue: () => void;   viewport: Viewport;   width: number; }; export interface getLayerType<T> {   (     formData: QueryFormData,     payload: JsonObject,     onAddFilter: () => void,     setTooltip: (tooltip: string) => void,   ): T; } interface getPointsType<T> {   (point: number[]): T; } type deckGLComponentState = {   viewport: Viewport;   layer: unknown; };  export function createDeckGLComponent(   getLayer: getLayerType<unknown>,   getPoints: getPointsType<Point[]>, ): React.ComponentClass<deckGLComponentProps> {   // Higher order component   class Component extends React.PureComponent<     deckGLComponentProps,     deckGLComponentState   > {     containerRef: React.RefObject<DeckGLContainer> = React.createRef();      constructor(props: deckGLComponentProps) {       super(props);        const { width, height, formData } = props;       let { viewport } = props;       if (formData.autozoom) {         viewport = fitViewport(viewport, {           width,           height,           points: getPoints(props.payload.data.features),         }) as Viewport;       }        this.state = {         viewport,         layer: this.computeLayer(props),       };       this.onViewportChange = this.onViewportChange.bind(this);     }      UNSAFE_componentWillReceiveProps(nextProps: deckGLComponentProps) {       // Only recompute the layer if anything BUT the viewport has changed       const nextFdNoVP = { ...nextProps.formData, viewport: null };       const currFdNoVP = { ...this.props.formData, viewport: null };       if (         !isEqual(nextFdNoVP, currFdNoVP) ||         nextProps.payload !== this.props.payload       ) {         this.setState({ layer: this.computeLayer(nextProps) });       }     }      onViewportChange(viewport: Viewport) {       this.setState({ viewport });     }      computeLayer(props: deckGLComponentProps) {       const { formData, payload, onAddFilter } = props;        return getLayer(formData, payload, onAddFilter, this.setTooltip);     }      setTooltip = (tooltip: string) => {       const { current } = this.containerRef;       if (current) {         current?.setTooltip(tooltip);       }     };      render() {       const { formData, payload, setControlValue, height, width } = this.props;       const { layer, viewport } = this.state;        return (         <DeckGLContainerStyledWrapper           ref={this.containerRef}           mapboxApiAccessToken={payload.data.mapboxApiKey}           viewport={viewport}           layers={[layer]}           mapStyle={formData.mapbox_style}           setControlValue={setControlValue}           width={width}           height={height}           onViewportChange={this.onViewportChange}         />       );     }   }   return Component; }  export function createCategoricalDeckGLComponent(   getLayer: getLayerType<unknown>,   getPoints: getPointsType<Point[]>, ) {   return function Component(props: deckGLComponentProps) {     const {       datasource,       formData,       height,       payload,       setControlValue,       viewport,       width,     } = props;      return (       <CategoricalDeckGLContainer         datasource={datasource}         formData={formData}         mapboxApiKey={payload.data.mapboxApiKey}         setControlValue={setControlValue}         viewport={viewport}         getLayer={getLayer}         payload={payload}         getPoints={getPoints}         width={width}         height={height}       />     );   }; }",C:\Users\Owner\Desktop\DatasetFiles\as_10_78.js
